Russion,English
а,A
американский,American
армия,army
ах,Oh
бабушка,grandmother
бежать,run
без,without
белый,white
берег,shore
беседа,conversation
близкий,close
богатый,rich
боец,fighter
бой,the battle
более,more
больной,sick
больше,more
большой,big
борьба,struggle
бояться,afraid
брат,Brother
брать,take
бригада,Brigade
бригадир,The foreman
бросить,quit
броситься,To rush
будто,Like
будущий,future
бумага,paper
бы / б,would / b
бывать,to go
быстро,fast
быть,be
в / во,in / in
вагон,railway carriage
важный,important
ваш,your
вверх,up
вдруг,all of a sudden
ведь,after all
век,century
великий,great
верить,believe
верно,right
вернуться,return
весело,funny
весёлый,funny
весна,spring
вести,News
весь,All
ветер,wind
вечер,evening
вечером,In the evening
вещь,thing
взгляд,sight
взглянуть,take a look
взрослый,adult
взять,take
вид,view
видеть,see
видно,it is seen
висеть,hang
власть,power
вместе,together
вместо,instead of
внимание,attention
внимательно,attentively
вода,water
военный,military
возвращаться,come back
воздух,air
возле,near
возможность,opportunity
война,war
войти,to come in
вокруг,around
волна,wave
волос,hair
вон,There
вообще,at all
вопрос,question
ворота,gates
восемь,eight
воспитание,upbringing
восьмой,eighth
вот,Here
впервые,first
вперёд,forward
впереди,Ahead
впечатление,impression
впрочем,however
враг,enemy
время,time
всё,All
всегда,Always
вскоре,soon
вспоминать,recall
вспомнить,recall
встать,get up
встретить,meet
встретиться,Meet
встреча,meeting
всякий,any
второй,second
входить,enter
вчера,yesterday
вы,You
вызвать,call
выйти,go out
выполнение,performance
выполнить,Perform
выполнять,fulfill
вырасти,Grow
высокий,high
выставка,exhibition
выступать,protrude
выступить,perform
выходить,go out
газета,newspaper
где,Where
гектар,hectare
генерал,General
герой,hero
главный,main
глаз,eye
глядеть,look
говорить,speak
год,year
голова,head
голос,voice
голубь,pigeon
гора,mountain
гореть,Burn
город,city
городской,urban
горячий,hot
господин,Mr.
гость,guest
государство,state
готовить,prepare
готовиться,prepare
готовый,ready
громко,loud
грудь,breast
группа,group
губа,lip
да,Yes
давать,give
давно,for a long time
даже,even
далёкий,far
далеко,far
дальше,further
дать,give
два,two
двадцать,twenty
двенадцать,twelve
дверь,door
двести,two hundred
движение,movement
двор,yard
девочка,girl
девушка,young woman
девятый,ninth
девять,nine
девятьсот,nine hundred
дежурный,duty
действительно,really
делать,do
дело,case
день,day
деньги,money
деревня,village
дерево,tree
держать,hold
десяток,A dozen
десятый,tenth
десять,ten
деталь,detail
дети,children
детский,Children
директор,director
длинный,long
для,For
до,before
добиться,achieve
добрый,Kind
дождь,rain
доклад,report
доктор,doctor
долго,for a long time
должен,must
дом,house
дома,Houses
домой,home
дорога,road
дорогой,Expensive
доска,board
достать,Get out
друг,Friend
другой,another
дружба,friendship
дружина,squad
думать,think
душа,soul
дядя,uncle
едва,barely
если,If
есть,There is
ехать,drive
ещё,more
